16,22,23,15,18,11,16,14,20,19,27,20,23,14,23,5,15,14,15,23,20,20,15,16,25,24,0,13,23,26,17,24,25,21,17,17,24,3,25,23,12,22,14,26,18,7,16,23,19,19,14,18,21,22,17,16,19,24,23,20,23,12,15,20,18,23,19,4,12,22,18,23,9,21,14,14,22,24,29,24,17,29,14,18,13,24,21,12,18,6,17,19,23,25,25,30,19,5,20,30,18,18,0,28,19,16,23,17,25,21,15,26,10,13,25,16,29,20,21,4,12,24,3,18,23,19,19,25,31,15,28,24,21,16,12,12,22,28,24,31,30,25,18,33,16,25,28,20,26,16,28,21,24,30,15,23,29,28,20,34,42,24,20,23,29,29,25,22,26,30,31,22,27,27,29,18,32,40,34,24,30,29,24,28,26,23,22,30,27,43,25,32,34,28,20,36,29,33,20,30,31,44,24,37,34,37,26,37,33,46,33,28,38,32,33,33,43,34,28,26,40,23,24,20,26,46,24,34,44,42,24,31,40,38,35,35,40,43,33,34,34,38,24,34,38,36,36,39,40,32,31,44,36,36,34,0
17,15,16,19,23,23,18,14,21,18,27,17,23,17,25,12,16,15,15,26,24,16,17,15,23,18,27,23,20,18,14,20,23,27,26,24,21,21,20,19,25,24,13,20,23,16,2,17,19,17,15,22,27,15,19,21,16,11,19,23,29,24,21,15,18,22,4,21,20,16,26,21,2,24,19,22,15,23,26,10,17,22,18,22,15,19,18,25,12,22,19,18,22,24,11,24,22,24,22,21,17,22,16,33,17,23,21,11,26,25,17,29,32,30,22,2,19,20,29,28,26,24,19,17,23,27,32,7,32,33,12,16,20,20,16,27,26,21,23,21,22,0,37,24,28,26,17,18,15,22,25,25,28,23,23,24,35,33,38,34,29,25,29,39,24,9,25,22,25,28,33,21,29,20,34,37,40,47,33,33,34,24,32,30,38,18,31,23,27,35,22,28,19,26,38,29,24,32,19,38,46,22,43,20,32,26,23,26,39,22,25,27,37,3,28,34,30,44,30,22,46,44,23,34,44,49,5,25,41,42,28,35,36,49,30,23,22,45,25,24,6,30,30,41,25,3,39,9,21,22,52,12,31,15,18,16
22,19,20,20,16,17,20,18,23,20,11,17,20,20,20,15,20,15,21,16,15,14,18,15,14,17,16,24,16,13,22,12,18,18,20,21,19,19,19,24,14,27,21,25,23,11,12,23,16,18,20,10,12,16,16,15,14,22,26,25,30,19,25,17,15,19,13,21,20,22,22,19,16,26,23,22,21,25,15,19,18,4,23,21,21,19,24,20,28,11,24,25,24,26,21,24,24,29,27,15,19,25,21,22,15,24,16,24,12,28,27,31,21,14,20,30,23,16,25,30,21,26,37,25,26,14,17,12,18,26,18,25,31,34,18,27,20,18,21,26,22,40,22,22,29,21,20,20,28,28,29,38,21,37,26,32,16,20,34,29,21,27,31,24,24,25,40,24,31,32,26,28,23,34,18,26,25,25,29,16,26,26,26,27,33,20,31,38,38,30,21,33,29,32,41,38,20,41,43,34,34,30,31,39,35,27,37,28,34,34,28,36,28,40,40,35,31,26,34,41,45,26,41,42,46,41,38,35,51,35,38,31,39,49,40,30,37,40,34,49,45,44,45,58,32,46,38,55,47,34,44,47,34,52,51,45
15,16,19,29,9,14,11,13,17,17,15,24,14,20,15,14,15,20,13,16,28,12,18,20,20,16,12,19,12,21,12,15,22,14,21,13,14,12,18,22,16,11,18,17,22,20,10,20,12,16,20,25,14,13,20,19,20,19,20,23,16,25,19,21,13,12,16,21,19,9,16,6,21,22,21,16,17,16,19,10,19,17,20,19,13,28,17,20,20,28,21,20,16,19,24,14,19,24,18,19,21,21,26,14,24,20,15,16,21,21,19,14,20,15,15,21,15,24,23,30,31,24,16,25,22,23,28,20,28,24,26,19,35,33,14,26,22,27,33,21,23,18,32,33,21,18,43,22,29,27,24,21,25,37,32,29,21,35,25,13,23,20,34,39,20,35,17,17,35,37,27,26,33,26,23,36,35,26,37,36,42,27,26,43,22,36,36,39,23,24,33,24,26,25,34,26,26,24,46,25,32,34,35,36,45,27,22,26,33,24,25,34,42,32,45,39,33,23,38,47,32,36,21,44,29,16,27,49,26,31,34,28,27,40,35,30,43,44,37,32,45,36,30,44,26,47,34,23,52,42,35,53,39,43,42,60
21,11,21,16,19,17,14,19,22,13,22,18,16,23,17,15,23,14,15,12,15,11,16,12,24,20,15,21,18,16,11,22,15,16,18,24,27,25,12,16,13,17,14,21,19,19,10,12,22,12,16,21,19,17,17,15,18,24,14,18,12,19,18,20,19,21,12,16,16,23,16,15,19,21,21,15,10,14,21,22,12,13,14,16,8,18,19,21,17,21,18,14,23,24,15,12,21,27,16,28,19,13,19,21,25,30,16,23,12,29,23,10,25,23,22,25,30,11,11,23,21,25,25,21,15,21,28,23,21,25,18,25,23,28,31,32,22,21,15,22,34,21,22,27,16,28,14,19,24,34,24,19,22,26,19,40,27,18,17,21,28,25,22,19,28,29,38,27,28,30,16,25,31,30,27,31,33,26,19,37,20,32,20,30,35,28,24,38,25,27,22,24,28,19,43,20,28,30,28,37,29,23,26,23,46,34,21,24,31,20,31,24,36,23,26,29,30,29,23,23,12,32,37,32,23,29,31,37,26,38,31,25,33,33,32,38,28,26,47,37,37,45,48,33,43,42,56,43,44,40,34,54,46,42,50,44
26,20,22,15,21,26,21,16,19,19,15,20,15,15,24,20,18,22,17,19,17,15,16,9,20,7,25,13,19,13,16,14,21,10,6,21,17,23,21,15,20,13,23,15,19,17,19,20,9,17,28,13,22,11,19,18,12,18,17,8,28,21,23,14,17,18,9,16,22,23,10,28,17,17,14,20,14,15,18,24,24,23,13,14,17,8,19,16,22,22,11,16,14,17,25,27,15,22,16,16,21,12,22,22,19,20,21,9,14,19,17,12,13,32,10,26,18,16,19,18,27,22,19,17,17,16,26,22,17,27,17,19,23,24,13,23,28,16,25,24,19,22,12,25,26,28,26,19,28,33,19,34,29,16,29,29,23,16,25,39,28,18,22,22,22,30,24,32,33,16,17,25,29,25,26,29,29,26,30,25,34,24,24,23,38,22,20,25,18,28,26,21,29,27,18,30,36,31,43,38,35,33,33,35,30,17,29,34,33,24,48,30,49,39,47,25,39,36,36,36,37,36,20,28,24,33,29,35,36,52,43,40,28,46,44,27,43,38,29,29,35,27,29,37,20,36,45,57,26,34,40,38,30,43,57,49
24,17,16,18,15,12,14,15,12,21,18,17,15,13,13,20,10,13,18,21,16,20,13,11,12,17,17,22,31,20,13,21,15,16,18,10,9,28,14,12,11,17,18,14,17,12,16,19,21,17,24,18,22,20,7,23,18,20,12,6,13,20,22,13,17,14,24,9,12,11,12,15,26,12,17,12,18,15,25,18,15,12,21,22,24,14,29,19,18,21,10,22,18,22,18,26,16,14,20,5,10,18,25,20,18,23,18,19,13,19,17,24,20,26,22,19,14,21,12,17,18,21,15,21,22,16,12,26,24,21,17,24,21,20,26,26,19,21,16,25,32,20,35,14,19,23,24,21,25,30,13,25,33,19,17,27,17,16,23,19,12,31,25,51,20,22,33,21,18,15,27,32,29,29,38,14,31,32,23,32,37,30,23,28,26,19,28,30,28,34,32,43,21,19,22,37,27,36,30,31,21,22,44,25,20,34,28,32,21,30,22,27,21,32,32,35,24,26,31,30,30,28,46,38,30,30,39,46,29,31,36,31,36,35,31,42,17,29,41,18,48,20,46,26,47,44,34,35,40,41,34,33,33,55,39,61
18,25,18,18,22,19,21,18,14,13,14,11,20,17,16,16,24,14,19,21,13,14,11,22,15,15,31,20,17,16,21,20,8,17,16,13,24,14,16,12,11,18,14,19,12,16,14,7,15,21,15,7,15,15,22,15,19,15,12,24,11,16,22,14,12,12,16,17,8,21,16,9,16,14,23,14,21,13,14,11,21,18,5,21,16,15,20,19,20,17,10,19,15,9,13,17,13,23,19,16,22,17,16,18,27,11,10,12,11,24,18,25,26,16,26,12,17,14,18,19,16,9,20,9,15,26,21,28,22,23,15,21,16,28,16,29,30,16,13,18,17,17,22,28,19,21,18,20,28,19,25,26,24,13,25,28,18,26,19,22,22,28,17,23,29,33,21,27,24,26,23,15,21,34,26,22,34,26,27,16,24,21,30,28,33,41,22,26,38,33,25,31,22,25,25,33,21,28,27,41,28,22,33,24,31,26,34,29,27,31,31,33,19,36,37,27,28,37,31,39,29,25,57,32,43,19,31,23,39,29,34,36,37,36,40,30,31,27,40,37,36,27,30,46,46,32,37,40,42,47,45,37,36,39,61,52
14,12,25,17,22,16,12,23,12,15,20,11,20,18,16,10,17,14,21,20,14,11,23,21,14,8,15,9,23,17,6,14,18,18,6,14,18,24,9,16,9,17,16,20,18,13,19,14,14,18,7,32,17,11,18,23,24,14,16,19,20,21,12,18,14,14,16,20,15,16,20,13,11,15,14,15,11,19,7,14,7,21,13,14,19,15,14,17,29,25,20,16,22,15,15,16,21,23,28,12,15,21,25,16,12,13,15,23,15,19,20,18,15,17,14,23,27,23,20,21,15,17,13,11,17,21,16,17,17,18,21,12,9,20,25,21,21,14,12,18,21,29,27,13,21,21,13,25,16,19,20,26,25,26,23,21,12,25,19,23,29,15,23,29,19,14,26,23,26,21,23,26,28,32,33,25,27,35,29,24,28,25,23,19,39,41,25,24,21,25,27,33,27,23,28,34,27,31,20,36,34,36,39,33,31,26,37,44,11,29,22,37,18,28,32,39,14,48,25,30,32,36,30,27,32,37,33,33,28,28,24,26,44,33,20,41,41,32,31,22,40,28,51,54,37,36,41,38,47,41,33,30,48,28,57,29
21,16,23,19,13,13,12,24,17,13,23,15,20,16,21,10,10,12,11,15,15,19,16,18,18,21,13,16,19,14,18,24,17,10,19,26,12,9,11,23,16,9,25,20,21,19,12,15,10,20,14,27,19,15,17,26,19,19,15,19,21,23,20,17,12,18,21,7,18,9,18,11,14,23,14,10,19,17,18,18,9,11,11,7,13,16,7,16,23,21,16,18,15,17,26,12,20,24,14,13,19,13,15,21,15,23,25,12,22,16,25,10,10,27,26,16,25,14,6,20,21,16,17,28,22,17,19,22,17,15,24,17,17,26,13,21,21,15,36,16,27,19,16,12,20,15,20,24,20,20,20,31,19,21,17,23,28,23,16,26,29,14,24,25,30,21,27,21,24,22,15,33,19,21,16,26,18,26,29,28,21,30,24,26,25,21,34,42,22,22,31,37,30,29,32,30,25,26,46,34,25,32,25,37,38,19,27,33,29,17,33,28,19,27,30,29,36,26,28,28,46,45,21,28,26,26,20,41,32,22,26,43,26,41,29,36,21,47,37,35,35,39,24,23,32,40,41,34,40,21,30,47,43,42,37,37
