0,-3595,-4776,-5368,-5678,-5739,-5756,-5778,-5804,-5834,-5864,-5896,-5936,-5979,-6025,-6072,-6122,-6177,-6236,-6297,-6362,-6432,-6503,-6580,-6664,-6749,-6839,-6934,-7034,-7139,-7245,-7355,-7469,-7584,-7704,-7826,-7949,-8072,-8196,-8318,-8435,-8543,-8644,-8726,-8789,-8824,-8839,-8826,-8783,-8723
-4037,-4300,-5755,-5566,-5696,-5749,-5771,-5788,-5811,-5837,-5867,-5900,-5941,-5982,-6027,-6078,-6128,-6181,-6241,-6301,-6365,-6432,-6506,-6584,-6664,-6751,-6840,-6937,-7036,-7137,-7245,-7355,-7467,-7582,-7701,-7821,-7940,-8063,-8179,-8294,-8405,-8505,-8591,-8659,-8702,-8722,-8713,-8677,-8620,-8539
-2603,-5361,-5504,-5729,-5733,-5754,-5773,-5797,-5819,-5845,-5875,-5912,-5951,-5994,-6039,-6087,-6139,-6192,-6251,-6313,-6379,-6448,-6522,-6599,-6682,-6767,-6858,-6952,-7050,-7155,-7262,-7372,-7485,-7601,-7719,-7838,-7957,-8075,-8188,-8300,-8403,-8490,-8562,-8615,-8637,-8636,-8605,-8549,-8462,-8361
-1959,-5630,-5653,-5750,-5755,-5778,-5792,-5812,-5835,-5863,-5894,-5930,-5971,-6012,-6059,-6109,-6159,-6215,-6274,-6336,-6404,-6474,-6549,-6627,-6709,-6798,-6888,-6983,-7083,-7187,-7295,-7406,-7520,-7639,-7756,-7876,-7996,-8110,-8222,-8327,-8421,-8498,-8554,-8585,-8584,-8555,-8499,-8410,-8300,-8179
-3510,-5565,-5730,-5749,-5778,-5796,-5814,-5837,-5860,-5888,-5922,-5958,-5998,-6042,-6088,-6138,-6190,-6246,-6306,-6370,-6439,-6510,-6587,-6667,-6751,-6839,-6934,-7029,-7131,-7238,-7347,-7462,-7579,-7695,-7815,-7937,-8056,-8168,-8280,-8379,-8459,-8522,-8558,-8559,-8534,-8474,-8381,-8262,-8124,-7969
-837,-5642,-5738,-5785,-5808,-5826,-5849,-5869,-5897,-5925,-5960,-5996,-6035,-6079,-6126,-6176,-6230,-6288,-6351,-6415,-6486,-6560,-6637,-6719,-6805,-6896,-6993,-7092,-7197,-7306,-7419,-7536,-7656,-7775,-7899,-8023,-8141,-8255,-8357,-8446,-8514,-8552,-8558,-8529,-8461,-8362,-8234,-8081,-7909,-7725
-1152,-5650,-5768,-5820,-5839,-5866,-5892,-5916,-5942,-5972,-6005,-6042,-6082,-6127,-6175,-6226,-6281,-6340,-6405,-6473,-6544,-6622,-6700,-6785,-6875,-6969,-7067,-7173,-7280,-7395,-7511,-7632,-7755,-7881,-8007,-8131,-8252,-8359,-8454,-8528,-8573,-8576,-8541,-8468,-8353,-8210,-8039,-7850,-7643,-7418
12,-5690,-5821,-5867,-5894,-5919,-5945,-5968,-5996,-6028,-6061,-6099,-6140,-6187,-6236,-6287,-6344,-6407,-6472,-6543,-6617,-6695,-6781,-6867,-6960,-7059,-7160,-7269,-7384,-7503,-7625,-7750,-7881,-8012,-8140,-8266,-8383,-8483,-8565,-8610,-8614,-8573,-8485,-8355,-8191,-7994,-7780,-7551,-7299,-7037
-497,-5723,-5884,-5921,-5953,-5978,-6005,-6030,-6059,-6091,-6127,-6168,-6209,-6256,-6306,-6361,-6420,-6483,-6553,-6627,-6704,-6786,-6874,-6966,-7063,-7166,-7274,-7388,-7507,-7632,-7763,-7896,-8034,-8168,-8299,-8425,-8533,-8618,-8668,-8668,-8613,-8510,-8355,-8165,-7942,-7703,-7439,-7163,-6877,-6575
19,-5828,-5917,-5988,-6018,-6046,-6074,-6103,-6131,-6171,-6208,-6245,-6289,-6340,-6391,-6447,-6510,-6576,-6648,-6724,-6807,-6893,-6984,-7083,-7183,-7294,-7408,-7527,-7657,-7789,-7925,-8067,-8211,-8352,-8485,-8602,-8693,-8742,-8738,-8665,-8538,-8354,-8134,-7881,-7608,-7315,-7006,-6684,-6354,-6011
