-0.9858377410719166 (18,28)

 1.374177043659730313e-01
 3.475754539595563714e-02,  2.804642123176746132e-03
 8.706714631381458347e-04,  5.958447281367193829e-03
 6.967633052025562989e-05,  6.807827961437321052e-03
 1.724893386593524683e-03,  1.065951859139602914e-02
 1.707142427182886159e-04,  1.179191413382115871e-03
 5.651189135745658025e-04,  6.405612896649701734e-04
 1.625534434865899406e-04,  1.525149737257197895e-04
 9.713711291331101911e-04,  2.490053532652261050e-04
 1.171814147937902785e-03,  3.011383706134095062e-03

-0.9821488221290958 (19,27)

 1.611569070161610051e-01
 3.630821754186612516e-02,  1.799234936715361343e-03
 5.087902641222442164e-04,  5.070601462216840424e-03
 1.520755846657081620e-03,  6.792125511548136735e-03
 1.382146015932433220e-03,  8.895443686403631256e-03
 1.415846214902182756e-03,  6.831198469620905663e-04
 1.712744660161819510e-03,  1.314587219453301542e-03
 1.704106615213432001e-03,  4.397296257230641058e-04
 1.260020293028893618e-03,  1.035304003635454263e-03
 1.753448438062414150e-03,  3.165531444592624508e-03

-0.9724239408652048 (19,26)

 2.839915710527342041e-01
 3.659228360424861964e-02,  2.556925688390295544e-03
 1.291018468458042436e-03,  4.019384500353889375e-03
 6.774557063361065588e-04,  4.379135664746820235e-03
 1.643798516296647930e-03,  7.660014230052374432e-03
 2.483574321617056449e-03,  8.342182595828453052e-04
 2.004993396805907629e-03,  1.379663325593686284e-03
 1.225552094702844286e-03,  6.707860609071648753e-04
 1.332855424023394065e-03,  1.049638645165987347e-03
 1.625234737808305477e-03,  3.641938010567030270e-03

-0.9665534825973597 (20,25)

 3.262373845969663289e-01
 3.715378837069111678e-02,  3.375873884667512578e-03
 7.832893114718548740e-04,  2.751345627461917586e-03
 1.144350305290284730e-03,  2.501391587239856079e-03
 1.213328345936449688e-03,  4.919995081437144278e-03
 1.492398647924142972e-03,  3.193036993093560302e-03
 1.343682751221378629e-03,  1.329205001242025333e-03
 1.734989066307576766e-03,  2.694156312522462838e-03
 1.243453607676011990e-03,  8.947533498137015279e-04
 1.028908813585203367e-03,  3.207763129695997625e-03

-0.9655268167993475 (18,29)

 3.806429533104436769e-01
 3.356593582903798223e-02,  3.445954339208956701e-03
 1.428561832385734842e-03,  6.056083781915804973e-03
 1.142757138136315858e-03,  7.655297402257292723e-03
 1.061112907866613390e-03,  1.155741583357510621e-02
 2.557146372538095583e-03,  9.962130728411321308e-04
 7.977709166668500110e-04,  1.275379015276997428e-03
 7.059004903183129431e-04,  1.011849907926190605e-03
 3.318812709370177376e-04,  1.385904594454150270e-03
 5.148312336322955754e-04,  2.323431614464948041e-03

-0.9646310527127931 (17,30)

 4.228668385819850384e-01
 3.364993964375391500e-02,  2.063322807322335098e-03
 1.002056063840700822e-03,  6.706525809183923499e-03
 1.250851477409935242e-03,  8.915631687246051984e-03
 8.351108396493802082e-04,  1.344087894672472278e-02
 2.171188522434361508e-03,  2.192774459221992663e-03
 6.106858473650966540e-05,  2.133763642961396690e-03
 7.550731834241136654e-04,  1.979283749264946178e-03
 4.830841844086712742e-04,  2.475602789792887698e-03
 6.737688799712878308e-04,  3.562033762764138783e-03

-0.963424781669861 (17,29)

 4.553681682253927221e-01
 3.346380727687704032e-02,  3.916897008640520504e-03
 1.541151996251056847e-03,  5.199625113418713911e-03
 7.280939633808453364e-04,  7.397269996983947375e-03
 1.037337336346783479e-03,  1.060167377771435368e-02
 1.588220591645275520e-03,  1.741908263210581280e-03
 1.001323449710998618e-03,  1.233968874231180721e-03
 1.132148466191921794e-03,  2.137968243126969151e-03
 8.877085050023798309e-04,  1.569312797983045318e-03
 7.128220146966659761e-04,  4.474812847997630336e-03

-0.9594295352601014 (18,27)

 4.851312123658333975e-01
 3.571629070222923780e-02,  2.374422012521309674e-03
 1.416900222697616875e-03,  5.796946233029008286e-03
 1.665853715710972384e-03,  4.690696106034401153e-03
 2.146673531792708811e-03,  1.034020114512639726e-02
 9.290740800611421799e-04,  3.581086249030895007e-04
 8.088774734135409546e-04,  7.045261111842807730e-04
 1.355066821903341432e-03,  6.465262586572436505e-04
 1.547621306209585575e-03,  1.169102743187979245e-03
 1.104018677804104740e-03,  3.992743105436079125e-03

-0.9576880410470672 (20,26)

 4.181337222602636294e-01
 3.613128327707746529e-02,  7.847058754831046480e-04
 1.516669684097473767e-03,  3.407458870322192281e-03
 1.493765125293162110e-03,  4.755643030810039786e-03
 7.899788032158310772e-04,  5.935360703286148704e-03
 1.036187328076452335e-03,  2.851305499915234368e-03
 7.006387904259376567e-04,  1.287994631980634045e-03
 9.255107251365794112e-04,  1.252777403150752422e-03
 1.619812066219706789e-03,  1.572888054044482365e-03
 6.747522911956416354e-04,  3.123341124022532660e-03

